Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud Reserva;Texto_Cajetines;Longitud;Latitud
439579,2800000000;4473497,7400000000;12-07-2018;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;3;CargayDescarga;Línea;2;7,5;LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7121098780;40.4099057070
439873,7600000000;4474393,8700000000;17-05-2013;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;1;CargayDescarga;Línea;4;22,5;PERMITIDO CARGA Y DESCARGA DE 0 A 11 H.;-3.7087240980;40.4180001680
439884,6400000000;4474417,8400000000;17-05-2013;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;3;CargayDescarga;Línea;6;29,2;PERMITIDO CARGA Y DESCARGA DE 7 A 11 H.;-3.7085982190;40.4182164590
439707,3200000000;4474504,1600000000;10-10-2017;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;7;CargayDescarga;Línea;2;10,51;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA..;-3.7106962760;40.4189810140
439759,6600000000;4474466,5000000000;28-07-2020;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;4;CargayDescarga;Línea;3;32;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7100758770;40.4186460630
439480,4400000000;4473482,1800000000;30-08-2010;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7132733260;40.4097586860
439720,6300000000;4473413,5100000000;09-01-2013;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;3;CargayDescarga;Línea;4;20;LABORABLES DE 8 A 14 H. EXCEPTO CARGA Y DESCARGA;-3.7104360960;40.4091572520
439821,1000000000;4474502,1700000000;24-05-2016;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;5;CargayDescarga;Línea;1;15;EXCEPTO SUBIDA Y BAJADA DE VIAJEROS CARGA Y DESCARGA DE MERCANCIAS SERVICIO HOTEL;-3.7093551540;40.4189712740
439830,7200000000;4474568,8800000000;24-05-2016;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;15;CargayDescarga;Línea;1;10;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7092480110;40.4195728220
439730,4300000000;4473716,1600000000;13-06-2012;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;40;CargayDescarga;Línea;3;15;LAB DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7103492930;40.4118840150
439868,6700000000;4474113,3500000000;26-11-1999;01  CENTRO;01-01 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;FTE 3;CargayDescarga;Línea;2;12,3;LABORABLES DE 8 A 14 H. Y DE 16:30 A 20 H. ESCEPTO CARGA Y DESCARGA;-3.7087576730;40.4154723930
439844,1000000000;4473656,2600000000;17-12-2019;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;CargayDescarga;Línea;5;26;LABORABLES DE 8 A14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7090039880;40.4113529980
439755,2700000000;4473658,9700000000;17-12-2019;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;9;CargayDescarga;Línea;7;35,7;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7100511260;40.4113711030
439866,9100000000;4474191,2400000000;17-07-2017;01  CENTRO;01-01 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;3;CargayDescarga;Línea;3;12,41;LABORABLES DE 8 A 15 H EXCEPTO CARGA Y DESCARGA;-3.7087857480;40.4161734070
439731,6800000000;4474919,3300000000;22-01-2019;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;1;CargayDescarga;Línea;5;20,3;LABORABLES DE 8 A 15 HORAS EXCEPTO CARGA Y DESCARGA;-3.7104484720;40.4227227720
439623,2600000000;4474670,3000000000;01-07-2010;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 15 H.. EXCEPTO CARGA Y DESCARGA;-3.7117028480;40.4204719080
439619,0200000000;4474923,2100000000;07-05-2018;01  CENTRO;01-01 PALACIO;ESPAÑA, PLAZA, DE;5;CargayDescarga;;;6,84;;-3.7117768750;40.4227493580
439679,4700000000;4474682,5000000000;01-07-2010;01  CENTRO;01-01 PALACIO;GUILLERMO ROLLAND, CALLE, DE;11;CargayDescarga;Línea;3;14,2;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7110415410;40.4205856970
439714,8800000000;4473618,5700000000;28-11-2001;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;8;CargayDescarga;Línea;2;9,9;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7105233000;40.4110043530
439726,2600000000;4473554,1700000000;28-11-2011;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;16;CargayDescarga;Línea;2;10,8;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7103830970;40.4104245770
439525,6200000000;4473761,8600000000;12-06-2013;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;11;CargayDescarga;Línea;2;10,3;LAB. DE 8 A 14 H. EXCEPTO CARGA Y DESCARGA;-3.7127674040;40.4122813620
439832,3500000000;4474162,6500000000;11-03-1999;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;48;CargayDescarga;Línea;5;23,3;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7091904280;40.4159135700
439549,5500000000;4474271,9700000000;07-09-2015;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;4;CargayDescarga;Línea;2;13,4;LABORABLES DE 8 A 18 H. EXCEPTO CARGA Y DESCARGA;-3.7125338090;40.4168783740
439607,6000000000;4473381,3200000000;01-01-1900;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;6;CargayDescarga;Línea;3;15;LABORABLES DE 6 A 13 H EXCEPTO CARGA Y DESCARGA;-3.7117651860;40.4088593140
439558,1600000000;4473796,1800000000;16-04-2013;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;5;CargayDescarga;Línea;1;15;LABORABLES DE 9:15 A 12:30 H. DE 14:30 A 16:00 H. Y DE 17:15 A 20 H. EXCEPTO CARGA Y DESCARGA;-3.7123871320;40.4125929930
439458,9900000000;4473593,2800000000;17-12-2019;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;16;CargayDescarga;Línea;1;7,6;LABORABLES DE 8 A 17 H. EXCEPTO CARGA Y DESCARGA;-3.7135366570;40.4107573510
439854,5700000000;4474090,2700000000;01-01-1900;01  CENTRO;01-01 PALACIO;SAN MIGUEL, PLAZA, DE;5;CargayDescarga;Línea;9;34,2;LABORABLES DE 8 A 14 H. Y DE 16:30 A 20 H. EXCEPTO CARGA Y DESCARGA;-3.7089215970;40.4152637210
439612,3500000000;4474142,5700000000;01-01-1900;01  CENTRO;01-01 PALACIO;SAN NICOLAS, PLAZA, DE;1;CargayDescarga;Línea;1;7;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7117814580;40.4157171600
439723,0200000000;4473885,3300000000;07-04-2011;01  CENTRO;01-01 PALACIO;SAN PEDRO, COSTANILLA, DE;FTE 2;CargayDescarga;Línea;2;8,4;LABORABLES DE 9 A 14 H.Y DE 16,30 A 19 H. EXCEPTOCARGA Y DESCARGA;-3.7104525970;40.4134080260
439962,2700000000;4473883,2000000000;13-07-2017;01  CENTRO;01-01 PALACIO;SEGOVIA NUEVA, PLAZA, DE;1;CargayDescarga;Línea;1;11,5;LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7076328430;40.4134057910
439580,8800000000;4473947,0100000000;21-12-2011;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;18;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H. EXCEPTOCARGA Y DESCARGA.;-3.7121336550;40.4139527940
439130,7100000000;4473794,6700000000;26-02-2010;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;7;CargayDescarga;Línea;2;10,1;LABORABLES DE 9 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA TIEMPO MAXIMO 30 MINUTOS;-3.7174246910;40.4125481880
439950,0900000000;4474683,9300000000;14-07-2017;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;4;CargayDescarga;Línea;7;37,3;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7078519420;40.4206184700
439967,3600000000;4473834,1200000000;03-11-2017;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;34;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 17 HORAS. EXCEPTO CARGA Y DESCARGA;-3.7075680980;40.4129636400
439937,9400000000;4473463,8700000000;18-12-2020;01  CENTRO;01-02 EMBAJADORES;AMAZONAS, CALLE, DE LAS;13;CargayDescarga;Línea;1;7,5;LAB. DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA DOMINGOS Y FESTIVOS DE 0 A 16 H.;-3.7078799590;40.4096269050
440536,2500000000;4473171,4400000000;26-07-2006;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;91;CargayDescarga;Línea;3;15;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7008014670;40.4070351310
439760,7000000000;4473334,7400000000;28-07-2006;01  CENTRO;01-02 EMBAJADORES;ARGANZUELA, CALLE, DE LA;9;CargayDescarga;Línea;4;18;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7099564730;40.4084503940
440803,0100000000;4473266,5300000000;01-02-2010;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;22;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H.EXCEPTO CARGA Y DESCARGA;-3.6976666430;40.4079110690
440649,5900000000;4473299,1800000000;01-02-2010;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;8;CargayDescarga;Línea;3;16;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H.EXCEPTO CARGA Y DESCARGA;-3.6994777630;40.4081935940
440854,6500000000;4473255,4800000000;01-02-2010;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;24;CargayDescarga;Línea;3;14;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H.EXCEPTO CARGA Y DESCARGA;-3.6970571300;40.4078146970
440585,2800000000;4473312,5300000000;14-07-2017;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;2;CargayDescarga;Línea;2;10,3;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H.EXCEPTO CARGA Y DESCARGA;-3.7002368170;40.4083097330
440392,9000000000;4473921,7300000000;01-07-2010;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;22;CargayDescarga;Línea;3;17,52;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7025611350;40.4137839430
440443,3800000000;4473898,0100000000;01-07-2010;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;26;CargayDescarga;Línea;3;15,8;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7019639980;40.4135738970
440347,1400000000;4473942,7400000000;18-12-2015;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;20;CargayDescarga;Línea;1;9,7;DE 8 A 22 H. CARGA Y DESCARGA SUBIDA Y BAJADA DE VIAJEROS TIEMPO MÁXIMO 30 MINUTOS;-3.7031024080;40.4139698680
441032,2000000000;4473524,3500000000;02-07-2019;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;111;CargayDescarga;Línea;2;10,48;LABORABLES DE 8 A 14 H Y DE 16.30 A 19 HORAS EXCEPTO CARGA Y DESCARGA;-3.6949896700;40.4102494240
441043,8000000000;4473517,6100000000;02-07-2019;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;106;CargayDescarga;Línea;2;12,2;LABORABLES DE 8 A 14 H Y DE 16.30 A 19 HORAS EXCEPTO CARGA Y DESCARGA;-3.6948523320;40.4101892630
441166,1300000000;4473449,1200000000;03-11-2021;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;112;CargayDescarga;Línea;2;10,1;LABORABLES DE 8 A 17 HORAS EXCEPTO CARGA Y DESCARGA;-3.6934042950;40.4095814130
440890,4700000000;4473140,0000000000;10-03-2009;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;12;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.6966242610;40.4067768410
440749,1300000000;4473090,5400000000;13-07-2017;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;24;CargayDescarga;Línea;5;24;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.6982852650;40.4063211680
440680,8600000000;4473066,6200000000;21-11-2017;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;34;CargayDescarga;Línea;1;7;DE 7 A 20 H. EXCEPTO VEHÍCULOS DE RIEGO Y BALDEO;-3.6990875780;40.4061015530
440582,1400000000;4473688,5700000000;01-12-2004;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;8;CargayDescarga;Línea;3;16,4;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7003090100;40.4116969450
440542,0400000000;4473568,1600000000;20-01-2001;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;23;CargayDescarga;Línea;2;10;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7007704700;40.4106091840
440535,2600000000;4473570,8400000000;01-12-2004;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;26;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7008506270;40.4106334200
440567,3100000000;4473611,8500000000;26-07-2006;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;17;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7004766000;40.4110050410
440525,8600000000;4473463,3100000000;26-07-2006;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;39;CargayDescarga;Línea;3;15;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7009512950;40.4096636320
440516,9600000000;4473417,2400000000;27-07-2006;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;52;CargayDescarga;Línea;2;10,77;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7010518490;40.4092484670
439917,4200000000;4473137,1200000000;21-12-2020;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;2;CargayDescarga;Línea;3;16,4;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA DOMINGOS Y FESTIVOS DE 0 A 16 H.;-3.7080908650;40.4066815590
440479,4100000000;4473863,4700000000;01-07-2010;01  CENTRO;01-02 EMBAJADORES;CAÑIZARES, CALLE, DE LOS;1;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7015361130;40.4132650150
439737,3400000000;4473224,7700000000;12-08-2020;01  CENTRO;01-02 EMBAJADORES;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;9;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA MARTES, SÁBADOS, DOMINGOS Y FESTIVOS DE 7:00 H. A 16:00 H;-3.7102213510;40.4074581460
439885,9500000000;4473330,2800000000;07-01-2021;01  CENTRO;01-02 EMBAJADORES;CARLOS ARNICHES, CALLE, DE;10;CargayDescarga;Línea;2;10;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA DOMINGOS Y FESTIVOS DE 0 A 16 H.;-3.7084800180;40.4084196260
439910,3900000000;4473182,3500000000;07-01-2021;01  CENTRO;01-02 EMBAJADORES;CARLOS ARNICHES, CALLE, DE;31;CargayDescarga;Línea;2;15;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA DOMINGOS Y FESTIVOSDE 0 A 16 H.;-3.7081779550;40.4070884730
439997,7700000000;4473643,7400000000;18-12-2020;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;2;CargayDescarga;Línea;7;33;RESERVA COMPARTIDA LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER DOMINGOS Y FESTIVOS DE 0 A 16 H.;-3.7071918370;40.4112511260
439975,8400000000;4473563,7600000000;18-12-2020;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;18;CargayDescarga;Línea;7;33;RESERVA COMPARTIDA ----------------------------------------- LABORABLES DE 10 A 13 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER ---------------------------------------------------------------------- DOMINGOS Y FESTIVOS DE 0 A 16 H.;-3.7074425630;40.4105288560
440098,4100000000;4473816,4300000000;28-07-2006;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;11;CargayDescarga;Línea;5;24;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7060220860;40.4128138680
440097,6700000000;4473828,3400000000;25-06-2009;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;6;CargayDescarga;Línea;4;22,5; LABORABLES DE 9 A 14 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7060318270;40.4129211830
440040,4900000000;4473853,6700000000;30-06-2017;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;10;CargayDescarga;Línea;4;20;LABORABLES DE 9 A 14 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER.;-3.7067080890;40.4131454390
440186,1300000000;4473810,9800000000;25-09-2018;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;15;CargayDescarga;Línea;3;15;LABORABLES DE LUNES A SÁBADO DE 8 A 17 HORAS EXCEPTO CARGA Y DESCARGA;-3.7049876680;40.4127716420
440187,0800000000;4473838,0900000000;05-10-2018;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;12;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7049789600;40.4130158360
440217,5900000000;4473915,0300000000;09-10-2018;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;3;CargayDescarga;Línea;3;13;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7046267050;40.4137110630
440625,7900000000;4473160,7300000000;01-02-2010;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;34;CargayDescarga;Línea;3;16;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.6997452770;40.4069450620
440068,0100000000;4473693,6200000000;17-12-2019;01  CENTRO;01-02 EMBAJADORES;DUQUE DE ALBA, CALLE, DEL;13;CargayDescarga;Línea;3;15,5;RESERVA COMPARTIDA LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER;-3.7063686690;40.4117051950
440083,6900000000;4473699,5400000000;17-12-2019;01  CENTRO;01-02 EMBAJADORES;DUQUE DE ALBA, CALLE, DEL;11;CargayDescarga;Línea;3;14,5;RESERVA COMPARTIDA LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER;-3.7061845200;40.4117596260
440099,9600000000;4473705,0300000000;17-12-2019;01  CENTRO;01-02 EMBAJADORES;DUQUE DE ALBA, CALLE, DEL;7;CargayDescarga;Línea;3;15,4;RESERVA COMPARTIDA LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER;-3.7059932090;40.4118110200
440736,0700000000;4473670,9900000000;14-07-2017;01  CENTRO;01-02 EMBAJADORES;DUQUE DE FERNAN NUÑEZ, CALLE, DEL;4;CargayDescarga;Línea;9;43;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.6984931920;40.4115497520
440059,0900000000;4473865,1500000000;01-01-1900;01  CENTRO;01-02 EMBAJADORES;DUQUE DE RIVAS, CALLE, DEL;8;CargayDescarga;Línea;5;24;LABORABLES DE 9 A 14H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7064899070;40.4132499470
440060,3900000000;4473912,6900000000;01-08-2005;01  CENTRO;01-02 EMBAJADORES;DUQUE DE RIVAS, CALLE, DEL;2;CargayDescarga;Línea;3;16;RESERVA COMPARTIDA LABORABLES DE 9 A 14 H. EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7064791350;40.4136782900
440218,2500000000;4473308,4200000000;01-12-2004;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;35;CargayDescarga;Línea;3;16;LABORABLES DE 8 A 15 H EXCEPTO CARGA Y DESCARGA;-3.7045619610;40.4082463060
440256,7100000000;4473251,5100000000;11-07-2014;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;58;CargayDescarga;Línea;2;12,5;Laborables de 8 a 15h. Excepto Carga y Descarga;-3.7041033650;40.4077366600
440277,0400000000;4473211,1400000000;27-10-2015;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;64;CargayDescarga;Línea;2;12,9;LABORABLES DE 8 A 15 HORAS EXCEPTO CARGA Y DESCARGA;-3.7038599160;40.4073739780
439873,4100000000;4473432,3000000000;29-04-2021;01  CENTRO;01-02 EMBAJADORES;GENERAL VARA DE REY, PLAZA, DEL;9;CargayDescarga;Línea;1;6,5;LABORABLES DE LUNES A VIERNES DE 8 A 15 HORAS EXCEPTO CARGA Y DESCARGA;-3.7086374100;40.4093373900
440082,0700000000;4473634,6900000000;22-04-2019;01  CENTRO;01-02 EMBAJADORES;JUANELO, CALLE, DE;19;CargayDescarga;Línea;1;6,44;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7061974120;40.4111752660
440365,4300000000;4473625,0600000000;05-04-2011;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;16;CargayDescarga;Línea;1;7;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7028571820;40.4111096630
440463,5600000000;4473393,8800000000;11-03-1999;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;56;CargayDescarga;Línea;2;11,8;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7016788370;40.4090337220
440430,3000000000;4473438,6800000000;11-03-1999;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;48;CargayDescarga;Línea;3;14,9;LAB. DE 8 A 18 H.EXCEPTO CARGA Y DESCARGA;-3.7020749800;40.4094347350
440415,5400000000;4473876,8500000000;12-12-2002;01  CENTRO;01-02 EMBAJADORES;LUIS VELEZ DE GUEVARA, CALLE, DE;3;CargayDescarga;Línea;3;15,1; LABORABLES DE 9 A 14 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7022900110;40.4133808100
440372,9700000000;4473768,5400000000;17-12-2019;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;6;CargayDescarga;Línea;3;17;RESERVA COMPARTIDA LABORABLES DE 9 A 14 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER;-3.7027817240;40.4124024850
440532,2900000000;4473766,0000000000;17-12-2019;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;23;CargayDescarga;Línea;1;5,5;RESERVA COMPARTIDA LABORABLES DE 9 A 14 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER;-3.7009036830;40.4123907960
440562,1500000000;4473766,7000000000;17-12-2019;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;25;CargayDescarga;Línea;1;6;RESERVA COMPARTIDA LABORABLES DE 9 A 14 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER;-3.7005519440;40.4123992190
440781,9100000000;4473118,4400000000;10-11-2009;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;13;CargayDescarga;Línea;3;15;LABORABLES DE 8 A 17 H. EXCEPTO CARGA Y DESCARGA;-3.6979015560;40.4065754470
440476,5200000000;4473103,6500000000;26-07-2006;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;15;CargayDescarga;Línea;3;15;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7014989860;40.4064196600
440044,9000000000;4473185,8500000000;06-05-1999;01  CENTRO;01-02 EMBAJADORES;MIRA EL SOL, CALLE, DE;17;CargayDescarga;Línea;2;10;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7065931540;40.4071296690
440162,6700000000;4473229,6000000000;27-10-2015;01  CENTRO;01-02 EMBAJADORES;MIRA EL SOL, CALLE, DE;5;CargayDescarga;Línea;2;12,8;LABORABLES DE 8 A 15H. EXCEPTO CARGA Y DESCARGA;-3.7052094600;40.4075324580
440467,9400000000;4473532,3400000000;01-12-2004;01  CENTRO;01-02 EMBAJADORES;OLIVAR, CALLE, DEL;34;CargayDescarga;Línea;2;8;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7016403340;40.4102810510
